Gene.symbol	logFC	adj.P.Val
Dpy19l3	-1.87	0.000252
Podxl	-1.55	0.000252
Alas1	-1.44	0.000252
Pspc1	-1.54	0.000252
Srr	-1.55	0.000252
Stfa3	-1.40	0.000252
Tpcn1	-1.47	0.000252
Ighm	-1.44	0.000252
Ccdc28a	-1.32	0.000252
	-1.50	0.000252
Zbtb17	-1.37	0.000252
Kansl1l	-1.32	0.000252
	-1.45	0.000252
P2rx4	-1.44	0.000252
Pigc	-1.39	0.000266
	-1.39	0.000266
Syn3	-1.35	0.000266
	-1.29	0.000266
Ccdc167	-1.53	0.000275
Clec2d	-1.25	0.000328
Zfp706	-1.58	0.000328
Nadk2	-1.61	0.000328
Pvt1	-1.30	0.000328
Slx1b	-1.33	0.000338
Abp1	-1.36	0.000338
Zhx1	-1.24	0.000338
Vldlr	-1.21	0.000338
Ankrd32	-1.17	0.000338
Plagl1	-1.24	0.000338
Sh3gl2	-1.36	0.000338
Dpf1	-1.18	0.000338
Mbp	-1.31	0.000338
Ttc3	-1.15	0.000338
Fabp4	-1.46	0.000338
Pcdh12	-1.35	0.000338
	-1.27	0.000347
4930528A17Rik	-1.18	0.000347
Dapl1	-1.25	0.000347
Samhd1	-1.23	0.000347
Pigs	-1.35	0.000347
Apcdd1	-1.33	0.000347
Zfp759	-1.26	0.000347
	-1.55	0.000347
Rnf11	-1.42	0.000347
Trp63	-1.16	0.000347
C030045M22Rik	-1.41	0.000347
Tpcn1	-1.63	0.000347
	-1.08	0.000347
Cpt1a	-1.18	0.000347
Zfp961	-1.41	0.000347
Zcchc5	-1.32	0.000347
Mgll	-1.39	0.000347
	-1.37	0.000347
Ptpdc1	-1.38	0.000347
	-1.17	0.000347
Tbc1d10c	-1.12	0.000347
Etv1	-1.44	0.000347
	-1.26	0.000347
	-1.25	0.000347
Naa38	-1.27	0.000347
Mgst3	-1.18	0.000347
Ccdc53	-1.13	0.000347
Tpm3	-1.07	0.000347
Gp1bb	-1.31	0.000349
	-1.20	0.000354
Zfp202	-1.26	0.000354
Kcnk3	-1.07	0.000354
Sppl2a	-1.16	0.000354
	-1.09	0.000354
Fras1	-1.10	0.000354
	-1.15	0.000354
Cacna1b	-1.14	0.000354
	-1.25	0.000354
	-1.36	0.000354
Map7d2	-1.43	0.000354
4932415G12Rik	-1.25	0.000354
Dclre1a	-1.45	0.000354
Srd5a2	-1.09	0.000354
	-1.62	0.000354
D5Ertd615e	-1.21	0.000354
Eif2ak1	-1.02	0.000354
Gid4	-1.31	0.000354
Rtel1	-1.10	0.000354
P2rx4	-1.21	0.000354
Rltpr	-1.12	0.000354
Ptpdc1	-1.05	0.000354
Dync1li2	-1.27	0.000354
Mon2	-1.16	0.000354
Meis1	-1.22	0.000354
Ddb2	-1.31	0.000354
1700016A09Rik	-1.11	0.000354
	-1.07	0.000354
Tmx4	-1.20	0.000354
4930542D17Rik	-1.22	0.000354
Gm13526	-1.09	0.000354
Kctd12	-1.31	0.000354
AU015777	-1.30	0.000354
Ccdc112	-1.04	0.000354
	-1.24	0.000354
Cdh10	-1.13	0.000354
Smarcb1	-1.28	0.000354
Agxt	-1.04	0.000354
Sh3tc1	-1.06	0.000354
H1f0	-1.14	0.000354
Hells	-1.17	0.000354
Hoxd3	-1.08	0.000354
Zfyve28	-1.29	0.000354
Ttyh3	-1.30	0.000354
Hoxa13	-1.12	0.000354
Grem1	-1.67	0.000354
Rgmb	-1.36	0.000354
Myh7b	-1.22	0.000354
Mgat5	-1.25	0.000354
Xpr1	-1.15	0.000354
	-1.07	0.000354
Myh1	-1.22	0.000354
Il1a	-1.08	0.000356
Slc36a4	-1.06	0.000356
Acp1	-1.56	0.000356
	-1.35	0.000356
Gid4	-1.27	0.000356
Cotl1	-1.15	0.000356
Scn2a1	-1.08	0.000356
Scn4a	-1.00	0.000356
1700071K01Rik	-1.14	0.000356
Spop	-1.08	0.000356
Pced1a	-1.03	0.000356
	-1.00	0.000356
Chrna1	-1.51	0.000356
	-1.05	0.000356
AU018728	-1.10	0.000356
Agk	-1.10	0.000356
	-1.08	0.000356
Gm19619	-1.14	0.000356
Mgll	-1.13	0.000356
Gli1	-1.05	0.000356
Gm2115	-1.25	0.000356
	-1.73	0.000356
Vax2	-1.33	0.000356
B230120H23Rik	-1.27	0.000356
Gfra4	-1.08	0.000356
	-1.09	0.000356
Pth1r	-1.56	0.000356
	-1.21	0.000358
Sec62	-1.04	0.000358
Tubb4b	-1.13	0.000359
Icosl	-1.04	0.000359
D530039A21Rik	-1.01	0.000359
Gpx3	-1.13	0.000359
C030005K15Rik	-1.06	0.000359
Gnaq	-1.04	0.000359
Ttc9b	-1.04	0.000359
Pigz	-1.19	0.000359
Cd47	-1.20	0.000359
Adam1a	-1.07	0.000359
Mapk14	-1.21	0.000359
Rc3h2	-1.13	0.000359
	-1.18	0.000359
Gpatch2	-1.05	0.000359
Plin4	-1.02	0.000359
	-1.12	0.000359
Dleu2	-1.24	0.000359
Rnaseh2c	-9.67e-01	0.000359
Wdfy3	-9.87e-01	0.000359
	-1.32	0.000359
Kdsr	-1.09	0.000359
Mgst2	-1.21	0.000359
4930432F04Rik	-1.27	0.000359
	-1.03	0.000359
Hoxa1	-1.14	0.000359
Zranb3	-1.12	0.000365
Myl2	-1.12	0.000365
Hr	-1.05	0.000365
	-9.97e-01	0.000365
4930504O13Rik	-9.90e-01	0.000365
Chrdl1	-1.02	0.000365
Rps4y2	-1.13	0.000365
A930036A04Rik	-1.07	0.000365
BB187676	-9.57e-01	0.000371
D13Ertd297e	-9.37e-01	0.000375
	-1.04	0.000375
Exoc3	-9.77e-01	0.000376
	-1.16	0.000376
Igfbpl1	-9.90e-01	0.000376
Amot	-9.63e-01	0.000376
	-9.70e-01	0.000376
Mybpc3	-1.16	0.000376
Mbp	-1.22	0.000376
Crip2	-1.14	0.000376
Ccdc88a	-9.33e-01	0.000376
Efna3	-9.97e-01	0.000376
Zfp938	-1.42	0.000376
Afp	-1.17	0.000376
	-1.07	0.000376
	-1.08	0.000376
Trpm6	-1.51	0.000376
4930444F02Rik	-9.50e-01	0.000376
Tbl1xr1	-1.07	0.000376
Pak1	-1.12	0.000376
Mfsd11	-1.07	0.000381
4933407I05Rik	-1.25	0.000381
B130055M24Rik	-1.03	0.000381
	-1.30	0.000382
Scn2b	-1.12	0.000384
B3gnt7	-9.63e-01	0.000386
Creb3	-9.97e-01	0.000387
Chrnd	-1.04	0.000387
Trpm1	-9.47e-01	0.000387
Sspn	-1.50	0.000387
Cinp	1.05	0.000387
LOC432842	-1.07	0.000387
Gsap	-1.50	0.000387
Zfp317	-1.66	0.000387
Grk5	-1.29	0.000389
Pdxk	-9.37e-01	0.000389
Pdrg1	-1.05	0.000389
C80068	-1.07	0.000389
	-1.03	0.000389
Bsn	-9.83e-01	0.000389
Dixdc1	-9.13e-01	0.000389
Rag1	-9.83e-01	0.000389
Rmi2	-1.01	0.000391
BC059050	-1.03	0.000397
Mos	-9.70e-01	0.000397
1700049J03Rik	-1.10	0.000397
Napepld	-9.43e-01	0.000397
4930506C21Rik	-9.53e-01	0.000397
Bub1	-1.29	0.000398
Dzip1	-1.13	0.000398
2300004M11Rik	-1.08	0.000398
Per3	-1.01	0.000398
BC037039	-9.20e-01	0.000399
5830428H23Rik	-2.01	0.000399
4930414L22Rik	-1.14	0.000399
Ntn4	-1.60	0.000399
Ppp1r16b	-1.08	0.000405
Cst6	-9.23e-01	0.000409
Cdrt4	-9.73e-01	0.00041
Stoml3	-9.77e-01	0.00041
Kcns3	-9.50e-01	0.00041
Ly6i	-1.04	0.00041
Dnmt3a	-1.17	0.00041
Gm11744	-1.06	0.00041
D630013N20Rik	-1.00	0.00041
Lactb2	-9.10e-01	0.00041
Pdgfra	-1.31	0.00041
Eno3	-1.30	0.00041
Syt7	-9.10e-01	0.00041
Rdh10	-1.33	0.00041
Zfp825	-1.06	0.00041
Kcnab2	-1.15	0.00041
Nipa1	-1.24	0.00041
Vps11	-1.07	0.00041
5830462P14Rik	-9.00e-01	0.00041
Fbxo28	-9.97e-01	0.00041
	-9.87e-01	0.00041
Krtcap3	-9.73e-01	0.00041
Sh3d19	-9.10e-01	0.00041
Mfsd6	-1.05	0.00041
Slc41a3	-1.18	0.00041
Kcnj15	1.09	0.00041
